Label ID,Length,Width,Height,Weight,Delivery Seq
0,96,60,52,264,1
1,96,60,50,264,2
2,95,58,51,288,2
3,97,56,55,268,2
4,95,60,54,267,1
5,98,57,55,263,1
6,99,59,55,276,3
7,100,60,50,268,2
8,96,60,50,257,1
9,100,58,51,264,1
10,97,56,51,255,3
11,100,58,51,259,2
12,98,55,55,294,1
13,100,58,51,290,3
14,100,57,53,286,3
15,98,58,55,272,3
16,100,60,53,289,1
17,98,60,51,250,2
18,100,56,53,250,1
19,100,60,55,280,2
20,96,60,51,267,2
21,98,59,54,251,1
22,98,60,50,286,2
23,98,57,53,271,1
24,97,58,53,285,1
25,97,57,52,300,3
26,97,59,50,267,3
27,98,56,54,250,1
28,96,60,54,255,3
29,99,56,52,279,3
30,96,58,51,266,2
31,100,58,54,261,2
32,99,59,50,268,1
33,96,56,54,286,1
34,96,55,50,295,3
35,96,57,51,269,3
36,100,59,53,266,2
37,99,57,50,286,3
38,97,56,53,297,1
39,98,59,51,271,2
40,95,57,55,283,1
41,96,60,52,291,1
42,95,56,54,299,3
43,99,58,54,282,3
44,95,59,55,294,3
45,98,56,51,281,1
46,97,55,52,260,1
47,99,58,53,294,1
48,97,59,51,275,3
49,96,59,55,280,3
50,99,59,53,271,2
51,98,56,54,284,3
52,98,55,53,292,2
53,98,58,55,298,2
54,99,57,52,300,1
55,95,59,52,267,3
56,98,56,52,279,1
57,97,58,50,275,3
58,98,60,52,253,3
59,100,56,54,268,2
60,96,59,54,272,2
61,100,59,55,277,3
62,95,56,51,256,2
63,98,57,55,299,1
64,97,57,52,271,2
65,97,59,50,292,3
66,96,60,53,287,3
67,95,59,51,258,3
68,98,59,54,276,2
69,99,59,55,288,2
70,97,55,55,298,1
71,100,58,53,282,2
72,99,59,55,257,2
73,100,55,54,299,1
74,96,56,52,292,3
75,97,58,54,250,2
76,98,56,55,284,3
77,97,60,53,265,3
78,96,57,51,272,1
79,96,60,55,252,3
80,99,57,55,264,1
81,98,56,51,251,1
82,95,59,51,263,1
83,97,57,53,252,2
84,100,60,54,270,1
85,100,55,50,267,1
86,95,59,51,275,1
87,95,58,54,275,2
88,98,59,51,255,2
89,97,60,55,282,2
90,99,60,54,275,3
91,95,57,55,300,2
92,96,56,50,263,3
93,100,58,52,271,2
94,96,58,50,270,2
95,96,59,53,272,1
96,96,56,50,288,2
97,98,60,51,258,3
98,98,55,51,255,3
99,100,60,55,257,3
100,99,55,52,257,3
101,100,60,50,280,3
102,96,59,52,261,1
103,98,56,54,268,3
104,98,60,55,259,1
105,100,57,53,265,2
106,99,58,52,294,1
107,100,57,51,298,2
108,100,56,51,266,2
109,100,56,50,255,1
110,97,56,53,266,3
111,99,56,53,283,3
112,95,58,51,271,1
113,95,58,53,258,3
114,95,60,55,293,3
115,96,59,50,271,3
116,100,55,54,255,3
117,96,58,54,250,2
118,97,57,50,268,3
119,97,58,53,264,3
120,95,56,52,254,1
121,95,58,51,259,1
122,99,56,51,297,2
123,98,55,54,274,3
124,98,60,55,274,3
125,98,56,51,253,1
126,97,57,50,257,3
127,96,55,53,250,3
128,98,56,53,283,2
129,95,55,55,294,2
130,95,59,51,267,3
131,96,55,55,298,2
132,95,56,50,298,3
133,97,55,51,275,1
134,98,56,52,260,1
135,100,57,53,286,3
136,95,57,52,281,3
137,96,57,53,250,3
138,99,60,53,279,3
139,97,56,53,298,2
140,97,59,55,255,1
141,98,57,54,272,3
142,100,60,51,253,2
143,100,55,55,263,3
144,100,56,50,257,1
145,96,56,51,258,2
146,99,57,53,270,3
147,96,60,51,273,1
148,97,57,54,297,2
149,98,56,54,286,2
150,100,59,55,300,2
151,100,58,53,277,1
152,98,56,52,294,3
153,98,59,52,269,1
154,100,59,54,259,2
155,99,56,51,253,2
156,97,58,50,261,3
157,98,58,54,300,3
158,97,59,50,289,1
159,97,58,50,251,1
160,96,59,51,299,1
161,95,58,52,263,3
162,99,56,51,270,3
163,97,57,54,294,3
164,99,58,54,284,3
165,96,57,50,290,2
166,96,57,53,298,1
167,97,59,52,257,3
168,97,56,52,264,1
169,100,56,53,275,3
170,98,58,51,288,2
171,98,57,54,288,3
172,95,57,54,265,3
173,97,56,52,250,3
174,95,55,51,253,3
175,97,58,53,284,1
176,99,58,54,270,1
177,96,57,54,291,3
178,96,59,54,259,3
179,99,56,55,264,3
180,95,59,54,277,1
181,96,57,52,265,3
182,96,56,53,290,2
183,97,56,52,275,2
184,97,58,50,298,1
185,98,55,54,293,3
186,96,55,51,292,2
187,100,55,54,290,2
188,96,59,55,265,3
189,100,59,55,267,1
190,96,56,55,281,2
191,99,55,50,257,1
192,99,58,50,271,1
193,96,55,55,279,2
194,98,58,52,276,3
195,99,55,54,254,3
196,97,55,54,300,2
197,97,60,52,285,2
198,100,55,51,280,2
199,100,58,53,284,3
