Label ID,Length,Width,Height,Weight,Delivery Seq
0,95,59,52,260,5
1,97,59,52,271,8
2,98,56,54,252,4
3,100,55,52,262,5
4,98,58,53,280,1
5,96,59,54,280,6
6,96,55,52,290,8
7,99,56,54,260,8
8,97,58,52,277,3
9,95,55,51,289,10
10,95,55,53,271,4
11,96,57,50,284,6
12,96,57,54,256,3
13,98,60,52,254,3
14,95,56,51,268,9
15,99,60,52,300,3
16,96,60,51,282,10
17,99,59,52,295,2
18,97,58,51,279,2
19,99,55,53,280,2
20,98,56,52,259,10
21,98,59,55,271,10
22,97,57,51,253,8
23,95,60,55,295,1
24,99,58,54,255,5
25,95,56,50,263,10
26,100,57,53,253,7
27,100,59,55,250,1
28,100,55,54,253,8
29,97,55,53,298,4
30,95,57,54,294,10
31,95,56,52,271,5
32,99,58,55,286,1
33,97,60,54,286,8
34,97,60,52,283,3
35,97,55,51,264,6
36,99,59,50,273,5
37,99,59,54,295,9
38,95,56,50,290,7
39,98,55,51,293,9
40,98,58,53,271,10
41,99,59,52,296,4
42,95,57,52,296,7
43,98,58,50,259,4
44,97,57,51,257,3
45,96,55,53,265,4
46,96,58,51,292,9
47,95,60,51,290,5
48,100,58,55,282,3
49,95,60,54,263,9
50,99,60,51,300,4
51,97,55,51,277,10
52,97,60,51,263,3
53,100,57,52,258,4
54,99,57,52,256,3
55,97,56,50,259,1
56,98,58,52,290,6
57,99,58,54,266,3
58,95,59,55,291,2
59,96,59,55,291,5
60,97,55,52,282,3
61,98,57,54,290,6
62,97,59,50,256,10
63,98,58,55,253,5
64,97,59,53,263,1
65,98,57,51,275,6
66,95,55,55,261,10
67,96,60,50,294,1
68,96,55,54,250,2
69,95,56,52,277,10
70,97,55,52,262,6
71,99,56,52,282,8
72,97,55,51,268,2
73,96,57,54,251,7
74,95,57,53,297,7
75,95,60,52,285,5
76,95,60,52,295,10
77,99,55,50,290,7
78,96,60,53,280,10
79,99,60,54,270,6
80,97,60,54,257,6
81,99,55,53,276,5
82,100,55,50,252,7
83,95,57,51,282,8
84,95,60,50,274,4
85,98,55,51,266,5
86,100,56,52,288,2
87,97,56,50,290,10
88,95,56,50,279,5
89,95,56,53,250,5
90,99,55,55,286,6
91,96,56,54,285,1
92,97,58,54,250,7
93,100,60,52,298,10
94,98,60,53,292,9
95,100,56,50,278,2
96,98,59,50,282,10
97,100,58,51,267,8
98,95,60,50,299,2
99,100,59,51,272,1
100,95,58,54,292,2
101,97,60,54,262,6
102,95,56,54,284,1
103,99,58,54,252,7
104,98,58,53,267,10
105,100,56,53,257,5
106,98,55,53,273,4
107,97,56,50,280,8
108,98,58,52,300,5
109,95,55,55,290,6
110,100,55,52,278,6
111,100,58,51,259,2
112,95,57,53,251,8
113,100,57,53,253,6
114,100,56,53,281,1
115,96,57,54,255,4
116,96,58,53,291,8
117,100,59,52,255,3
118,98,60,54,270,6
119,99,58,50,279,6
120,98,58,55,266,2
121,99,56,55,253,5
122,97,55,55,272,9
123,95,59,50,285,9
124,95,56,50,273,6
125,96,60,50,295,2
126,96,55,50,274,8
127,97,58,52,254,9
128,95,55,54,282,1
129,97,60,52,284,2
130,99,56,51,266,7
131,98,60,53,269,6
132,100,55,51,271,2
133,97,60,52,298,3
134,98,56,53,299,9
135,95,60,54,278,8
136,100,57,51,286,1
137,95,56,50,294,7
138,98,56,53,294,10
139,99,59,53,286,2
140,97,57,50,256,1
141,100,60,53,256,3
142,99,55,55,276,9
143,100,55,51,292,6
144,95,56,54,250,9
145,99,56,52,280,10
146,98,60,54,257,9
147,95,59,55,296,4
148,99,58,52,270,5
149,96,55,50,296,1
150,99,57,52,286,1
151,96,56,50,283,9
152,100,56,51,273,10
153,95,59,50,260,8
154,100,57,55,295,8
155,100,60,55,294,6
156,98,55,51,262,10
157,96,56,50,298,6
158,98,58,53,257,3
159,95,56,52,282,10
160,99,57,55,265,5
161,98,60,52,270,8
162,98,55,51,272,2
163,98,58,53,271,2
164,96,55,52,284,1
165,95,56,52,271,9
166,98,59,53,254,3
167,95,59,51,252,3
168,97,57,52,250,8
169,98,57,55,254,1
170,100,55,53,254,10
171,97,59,53,254,10
172,96,55,51,293,6
173,98,55,53,265,1
174,95,60,51,254,10
175,98,57,55,277,3
176,96,56,52,265,5
177,99,57,50,290,2
178,98,60,50,299,6
179,96,57,55,259,6
180,96,57,54,280,2
181,98,55,50,251,2
182,100,58,55,271,3
183,96,56,52,276,5
184,96,58,53,282,4
185,95,60,54,278,10
186,97,60,54,265,9
187,97,58,51,250,2
188,97,55,53,292,3
189,100,58,52,260,4
190,97,60,50,274,4
191,98,60,53,294,4
192,95,55,53,291,5
193,96,55,55,295,1
194,96,56,51,283,5
195,98,57,51,252,1
196,100,56,55,259,6
197,100,55,53,271,10
198,99,60,52,278,5
199,100,56,50,259,4
